ds,CPU_util
2018-07-02 08:25:20,17
2018-07-02 08:28:20,17
2018-07-02 08:42:50,17
2018-07-02 08:55:20,17
2018-07-02 09:04:00,18
2018-07-02 09:11:20,18
2018-07-02 09:34:40,18
2018-07-02 09:38:30,18
2018-07-02 09:41:00,17
2018-07-02 09:43:10,18
2018-07-02 09:50:20,17
2018-07-02 09:50:40,18
2018-07-02 09:59:10,18
2018-07-02 10:01:10,18
2018-07-02 10:04:10,18
2018-07-02 10:26:50,17
2018-07-02 10:35:40,17
2018-07-02 11:06:10,18
2018-07-02 11:08:50,18
2018-07-02 11:19:30,18
2018-07-02 11:21:50,17
2018-07-02 11:29:10,18
2018-07-02 11:32:50,17
2018-07-02 11:36:10,18
2018-07-02 11:48:20,17
2018-07-02 11:58:30,18
2018-07-02 12:09:40,19
2018-07-02 12:11:50,17
2018-07-02 12:20:40,17
2018-07-02 12:30:00,18
2018-07-02 13:14:10,18
2018-07-02 13:25:30,17
2018-07-02 13:30:40,17
2018-07-02 13:57:40,17
2018-07-02 14:03:30,18
2018-07-02 14:06:20,17
2018-07-02 14:14:30,17
2018-07-02 14:14:40,17
2018-07-02 14:17:00,17
2018-07-02 14:34:20,17
2018-07-02 14:46:10,18
2018-07-02 14:51:50,17
2018-07-02 15:01:00,17
2018-07-02 15:12:20,17
2018-07-02 15:19:40,19
2018-07-02 15:26:00,17
2018-07-02 15:40:50,16
2018-07-02 15:49:30,18
2018-07-02 16:17:50,16
2018-07-02 16:21:40,17
2018-07-02 16:22:00,16
2018-07-02 16:27:40,16
2018-07-02 16:29:00,16
2018-07-02 16:35:10,17
2018-07-02 16:39:00,16
2018-07-02 16:59:50,16
2018-07-02 17:30:00,16
2018-07-02 17:41:20,16
2018-07-02 17:48:50,16
2018-07-02 17:53:00,16
2018-07-02 18:01:00,16
2018-07-02 18:04:50,16
2018-07-02 18:06:50,16
2018-07-02 18:21:30,16
2018-07-02 18:36:40,16
2018-07-02 19:02:00,16
2018-07-02 19:44:10,16
2018-07-02 19:49:30,17
2018-07-02 20:10:40,16
2018-07-02 20:13:10,17
2018-07-02 20:20:20,16
2018-07-02 20:27:20,16
2018-07-02 20:34:00,16
2018-07-02 21:06:20,16
2018-07-02 21:12:20,16
2018-07-02 21:22:30,16
2018-07-02 21:23:20,15
2018-07-02 21:41:30,16
2018-07-02 22:08:10,16
2018-07-02 22:30:10,16
2018-07-02 22:46:40,15
2018-07-02 22:50:10,16
2018-07-02 23:23:10,15
2018-07-02 23:32:30,15
2018-07-02 23:42:40,15
2018-07-03 00:02:30,15
2018-07-03 00:12:20,15
2018-07-03 00:18:10,15
2018-07-03 00:36:10,15
2018-07-03 00:38:30,15
2018-07-03 00:51:10,15
2018-07-03 01:00:40,15
2018-07-03 01:03:40,15
2018-07-03 01:07:00,15
2018-07-03 01:31:50,15
2018-07-03 01:34:00,15
2018-07-03 01:39:20,15
2018-07-03 01:48:10,15
2018-07-03 01:51:20,15
2018-07-03 02:04:40,15
2018-07-03 02:07:30,15
2018-07-03 02:19:50,15
2018-07-03 02:20:10,16
2018-07-03 02:22:10,16
2018-07-03 02:29:40,17
2018-07-03 02:41:50,15
2018-07-03 02:43:10,16
2018-07-03 02:48:00,15
2018-07-03 03:09:40,16
2018-07-03 03:20:50,15
2018-07-03 03:30:00,15
2018-07-03 03:40:20,15
2018-07-03 04:06:50,15
2018-07-03 04:11:10,16
2018-07-03 04:14:10,16
2018-07-03 04:16:50,15
2018-07-03 04:17:30,17
2018-07-03 04:21:10,16
2018-07-03 04:34:10,16
2018-07-03 04:39:20,15
2018-07-03 04:41:10,16
2018-07-03 04:51:20,15
2018-07-03 05:05:00,16
2018-07-03 05:05:20,15
2018-07-03 05:11:10,16
2018-07-03 05:21:10,16
2018-07-03 05:39:10,17
2018-07-03 05:48:50,17
2018-07-03 05:49:00,17
2018-07-03 06:22:10,18
2018-07-03 06:31:20,17
2018-07-03 06:49:00,18
2018-07-03 06:49:50,17
2018-07-03 06:56:20,17
2018-07-03 07:00:40,18
2018-07-03 07:25:40,18
2018-07-03 07:28:10,19
2018-07-03 07:30:30,18
2018-07-03 07:38:10,18
2018-07-03 07:51:30,18
2018-07-03 07:54:20,18
2018-07-03 08:00:20,19
2018-07-03 08:01:40,19
2018-07-03 08:40:00,18
2018-07-03 08:40:50,18
2018-07-03 08:47:50,18
2018-07-03 08:59:10,18
2018-07-03 09:04:40,20
2018-07-03 09:05:40,19
2018-07-03 09:24:00,18
2018-07-03 09:35:50,18
2018-07-03 09:46:30,17
2018-07-03 09:53:10,19
2018-07-03 10:01:10,19
2018-07-03 10:54:40,18
2018-07-03 11:26:20,17
2018-07-03 11:36:50,17
2018-07-03 11:38:10,19
2018-07-03 11:38:20,18
2018-07-03 11:39:40,19
2018-07-03 11:45:50,18
2018-07-03 11:52:30,18
2018-07-03 11:53:00,18
2018-07-03 11:57:00,18
2018-07-03 12:12:40,18
2018-07-03 12:16:40,18
2018-07-03 12:25:40,17
2018-07-03 12:31:10,18
2018-07-03 12:48:20,17
2018-07-03 13:06:20,17
2018-07-03 13:17:20,17
2018-07-03 13:24:50,17
2018-07-03 13:31:20,18
2018-07-03 13:38:10,18
2018-07-03 13:57:00,18
2018-07-03 14:04:10,19
2018-07-03 14:08:00,18
2018-07-03 14:35:00,18
2018-07-03 14:59:10,19
2018-07-03 15:04:00,18
2018-07-03 15:06:20,18
2018-07-03 15:47:40,18
2018-07-03 15:56:50,17
2018-07-03 16:08:50,17
2018-07-03 16:52:10,17
2018-07-03 17:02:10,17
2018-07-03 17:11:00,16
2018-07-03 17:12:30,16
2018-07-03 17:17:40,16
2018-07-03 17:17:50,16
2018-07-03 17:19:50,16
2018-07-03 17:38:30,16
2018-07-03 17:39:00,17
2018-07-03 17:40:20,16
2018-07-03 17:44:00,16
2018-07-03 17:50:00,16
2018-07-03 17:50:40,17
2018-07-03 17:53:50,16
2018-07-03 18:08:50,16
2018-07-03 18:13:20,16
2018-07-03 18:30:00,16
2018-07-03 18:31:20,16
2018-07-03 18:32:30,16
2018-07-03 18:40:20,16
2018-07-03 18:45:10,17
2018-07-03 19:05:10,17
2018-07-03 19:09:10,16
2018-07-03 19:18:40,17
2018-07-03 19:21:40,16
2018-07-03 19:47:10,17
2018-07-03 19:50:30,16
2018-07-03 20:01:20,16
2018-07-03 20:09:50,16
2018-07-03 20:24:10,17
2018-07-03 20:42:40,16
2018-07-03 20:50:00,16
2018-07-03 20:58:10,17
2018-07-03 21:00:40,16
2018-07-03 21:11:20,16
2018-07-03 21:17:20,16
2018-07-03 21:31:20,16
2018-07-03 21:35:50,16
2018-07-03 21:46:10,16
2018-07-03 21:47:40,16
2018-07-03 21:53:40,16
2018-07-03 21:59:20,15
2018-07-03 22:05:10,16
2018-07-03 22:18:50,15
2018-07-03 22:36:30,15
2018-07-03 22:44:10,16
2018-07-03 22:44:20,15
2018-07-03 22:58:30,15
2018-07-03 23:06:50,15
2018-07-03 23:26:30,15
2018-07-03 23:33:10,15
2018-07-03 23:45:10,16
2018-07-03 23:48:00,15
2018-07-03 23:48:20,15
2018-07-03 23:50:40,15
2018-07-03 23:53:50,15
2018-07-03 23:55:30,15
2018-07-04 00:11:10,15
2018-07-04 00:11:50,15
2018-07-04 00:27:10,15
2018-07-04 00:29:50,15
2018-07-04 00:45:10,16
2018-07-04 00:48:00,15
2018-07-04 00:49:00,15
2018-07-04 01:04:30,15
2018-07-04 01:33:40,15
2018-07-04 02:00:40,15
2018-07-04 02:21:20,15
2018-07-04 02:26:10,15
2018-07-04 02:36:30,15
2018-07-04 02:52:10,15
2018-07-04 02:56:00,15
2018-07-04 03:15:00,15
2018-07-04 03:15:30,15
2018-07-04 03:16:20,15
2018-07-04 03:17:30,15
2018-07-04 03:32:40,16
2018-07-04 03:48:10,16
2018-07-04 04:07:30,16
2018-07-04 04:11:20,16
2018-07-04 04:15:50,16
2018-07-04 04:27:40,16
2018-07-04 05:22:40,17
2018-07-04 05:55:20,17
2018-07-04 05:56:50,17
2018-07-04 06:35:50,17
2018-07-04 06:43:30,18
2018-07-04 06:53:20,17
2018-07-04 07:05:40,18
2018-07-04 07:13:30,17
2018-07-04 07:16:30,18
2018-07-04 07:31:10,19
2018-07-04 07:45:20,18
2018-07-04 07:53:20,18
2018-07-04 08:17:50,17
2018-07-04 08:19:20,18
2018-07-04 08:27:00,18
2018-07-04 09:04:10,19
2018-07-04 09:11:00,18
2018-07-04 09:19:00,18
2018-07-04 09:19:40,20
2018-07-04 09:25:30,18
2018-07-04 09:27:30,17
2018-07-04 09:27:50,18
2018-07-04 09:35:50,18
2018-07-04 09:44:10,18
2018-07-04 10:03:10,19
2018-07-04 10:04:30,18
2018-07-04 10:40:20,17
2018-07-04 10:45:20,17
2018-07-04 10:54:10,18
2018-07-04 10:54:40,17
2018-07-04 11:11:30,18
2018-07-04 11:14:20,18
2018-07-04 11:55:00,18
2018-07-04 12:02:40,18
2018-07-04 12:15:00,17
2018-07-04 12:36:40,17
2018-07-04 12:42:30,17
2018-07-04 12:54:20,18
2018-07-04 13:19:50,19
2018-07-04 13:36:00,17
2018-07-04 13:44:10,18
2018-07-04 13:51:10,18
2018-07-04 13:53:30,17
2018-07-04 13:57:50,17
2018-07-04 14:06:10,18
2018-07-04 14:30:00,19
2018-07-04 14:32:30,19
2018-07-04 15:10:50,18
2018-07-04 15:20:00,19
2018-07-04 15:24:40,19
2018-07-04 16:10:00,18
2018-07-04 16:18:40,19
2018-07-04 16:24:10,19
2018-07-04 16:24:20,18
2018-07-04 16:33:30,18
2018-07-04 16:36:00,18
2018-07-04 16:45:20,18
2018-07-04 17:08:00,16
2018-07-04 17:08:40,17
2018-07-04 17:51:20,16
2018-07-04 18:05:40,17
2018-07-04 18:17:30,16
2018-07-04 18:25:40,16
2018-07-04 18:28:20,16
2018-07-04 18:34:50,16
2018-07-04 18:35:30,16
2018-07-04 18:38:40,16
2018-07-04 18:46:10,17
2018-07-04 18:50:20,16
2018-07-04 19:15:50,16
2018-07-04 19:29:10,17
2018-07-04 19:37:50,16
2018-07-04 19:39:50,16
2018-07-04 20:02:10,17
2018-07-04 20:03:10,17
2018-07-04 20:04:20,16
2018-07-04 20:08:40,16
2018-07-04 20:26:00,16
2018-07-04 20:36:10,17
2018-07-04 20:38:00,16
2018-07-04 21:01:30,16
2018-07-04 21:06:20,16
2018-07-04 21:28:40,16
2018-07-04 21:30:40,16
2018-07-04 21:31:30,16
2018-07-04 21:42:30,16
2018-07-04 21:50:50,15
