,mean,pi_lower,pi_upper
2023-05-14 19:50:30,13975.660703550033,-5650.749108177604,33602.07051527767
2023-05-14 19:51:00,14002.945284212314,-5673.5443978487165,33679.434966273344
2023-05-14 19:51:30,13912.027887750666,-5814.414526395618,33638.47030189695
2023-05-14 19:52:00,13781.839018396342,-5994.429952999777,33558.107989792465
2023-05-14 19:52:30,13568.672918304908,-6257.2973868120735,33394.64322342189
2023-05-14 19:53:00,13592.90777670816,-6282.639578012806,33468.455131429124
2023-05-14 19:53:30,13783.400467398302,-6141.600580534692,33708.401515331294
2023-05-14 19:54:00,14055.397193195344,-5918.9351077980045,34029.729494188694
2023-05-14 19:54:30,14248.811561906496,-5774.730456949252,34272.35358076224
2023-05-14 19:55:00,14236.390990264465,-5836.240105116549,34309.022085645476
2023-05-14 19:55:30,14243.166430790252,-5878.433982736309,34364.766844316815
2023-05-14 19:56:00,14459.539463781553,-5710.911381750078,34629.99030931319
2023-05-14 19:56:30,14537.569817394444,-5681.613435704159,34756.75307049305
2023-05-14 19:57:00,14815.064852570453,-5452.733634999884,35082.863340140786
2023-05-14 19:57:30,15145.38288274711,-5170.914507356572,35461.68027285079
2023-05-14 19:58:00,15324.497181972452,-5040.183609866861,35689.17797381176
2023-05-14 19:58:30,15421.422322024186,-4991.527192043703,35834.371836092076
2023-05-14 19:59:00,15653.86697652183,-4807.2373918708945,36114.97134491455
2023-05-14 19:59:30,15949.163659631835,-4559.982497257173,36458.30981652084
2023-05-14 20:00:00,16340.772505872477,-4216.303166387197,36897.84817813215
2023-05-14 20:00:30,16737.526982239342,-3867.3667157486598,37342.42068022734
2023-05-14 20:01:00,17260.510258547845,-3392.0907499392233,37913.11126703491
2023-05-14 20:01:30,17732.665926839098,-2967.532442406944,38432.86429608514
2023-05-14 20:02:00,18063.888534852143,-2683.798002121366,38811.57507182565
2023-05-14 20:02:30,18373.646721688554,-2421.4195380492893,39168.7129814264
2023-05-14 20:03:00,18562.8005220558,-2279.537755048874,39405.13879916047
2023-05-14 20:03:30,18573.20200247356,-2316.3013177980356,39462.705322745154
2023-05-14 20:04:00,18523.507641528042,-2413.0544706720757,39460.06975372816
2023-05-14 20:04:30,18044.813605138937,-2938.701762606015,39028.328972883886
2023-05-14 20:05:00,17412.925263177196,-3617.438530603551,38443.28905695795
2023-05-14 20:05:30,16733.43863405736,-4343.669455268828,37810.546723383544
2023-05-14 20:06:00,16109.432184882131,-5014.316760783615,37233.18113054788
2023-05-14 20:06:30,15654.257214098861,-5516.0298323700645,36824.54426056779
2023-05-14 20:07:00,15360.992821419237,-5855.730246487961,36577.715889326435
2023-05-14 20:07:30,15127.417060978052,-6135.640617790556,36390.474739746656
2023-05-14 20:08:00,14881.394489158445,-6427.897051411741,36190.68602972863
2023-05-14 20:08:30,14698.309098822392,-6657.116208845713,36053.7344064905
2023-05-14 20:09:00,14888.487622331319,-6512.972005034448,36289.947249697085
